sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
İzmir,15-01-2024,00:00,21-01-2024,23:59,0.32
Kars,15-01-2024,00:00,21-01-2024,23:59,0.11
Kastamonu,15-01-2024,00:00,21-01-2024,23:59,0.13
Kayseri,15-01-2024,00:00,21-01-2024,23:59,0.16
Kırklareli,15-01-2024,00:00,21-01-2024,23:59,0.11
Kırşehir,15-01-2024,00:00,21-01-2024,23:59,0.13
Kocaeli,15-01-2024,00:00,21-01-2024,23:59,0.25
Konya,15-01-2024,00:00,21-01-2024,23:59,0.14
Kütahya,15-01-2024,00:00,21-01-2024,23:59,0.1
Malatya,15-01-2024,00:00,21-01-2024,23:59,0.16
Manisa,15-01-2024,00:00,21-01-2024,23:59,0.22
Kahramanmaraş,15-01-2024,00:00,21-01-2024,23:59,0.17
Mardin,15-01-2024,00:00,21-01-2024,23:59,0.18
Muğla,15-01-2024,00:00,21-01-2024,23:59,0.16
Muş,15-01-2024,00:00,21-01-2024,23:59,0.15
Nevşehir,15-01-2024,00:00,21-01-2024,23:59,0.15
Niğde,15-01-2024,00:00,21-01-2024,23:59,0.12
Ordu,15-01-2024,00:00,21-01-2024,23:59,0.23
Rize,15-01-2024,00:00,21-01-2024,23:59,0.13
Sakarya,15-01-2024,00:00,21-01-2024,23:59,0.2
Samsun,15-01-2024,00:00,21-01-2024,23:59,0.26
Siirt,15-01-2024,00:00,21-01-2024,23:59,0.2
Sinop,15-01-2024,00:00,21-01-2024,23:59,0.13
Sivas,15-01-2024,00:00,21-01-2024,23:59,0.12
Tekirdağ,15-01-2024,00:00,21-01-2024,23:59,0.13
Tokat,15-01-2024,00:00,21-01-2024,23:59,0.13
Trabzon,15-01-2024,00:00,21-01-2024,23:59,0.19
Tunceli,15-01-2024,00:00,21-01-2024,23:59,0.17
Şanlıurfa,15-01-2024,00:00,21-01-2024,23:59,0.16
Uşak,15-01-2024,00:00,21-01-2024,23:59,0.17
Van,15-01-2024,00:00,21-01-2024,23:59,0.18
Yozgat,15-01-2024,00:00,21-01-2024,23:59,0.07
Zonguldak,15-01-2024,00:00,21-01-2024,23:59,0.19
Aksaray,15-01-2024,00:00,21-01-2024,23:59,0.12
Bayburt,15-01-2024,00:00,21-01-2024,23:59,0.08
Karaman,15-01-2024,00:00,21-01-2024,23:59,0.11
Kırıkkale,15-01-2024,00:00,21-01-2024,23:59,0.21
Batman,15-01-2024,00:00,21-01-2024,23:59,0.19
Şırnak,15-01-2024,00:00,21-01-2024,23:59,0.15
Bartın,15-01-2024,00:00,21-01-2024,23:59,0.15
Ardahan,15-01-2024,00:00,21-01-2024,23:59,0.09
Iğdır,15-01-2024,00:00,21-01-2024,23:59,0.18
Yalova,15-01-2024,00:00,21-01-2024,23:59,0.25
Karabük,15-01-2024,00:00,21-01-2024,23:59,0.12
Kilis,15-01-2024,00:00,21-01-2024,23:59,0.16
Osmaniye,15-01-2024,00:00,21-01-2024,23:59,0.2
Düzce,15-01-2024,00:00,21-01-2024,23:59,0.17
Adana,22-01-2024,00:00,28-01-2024,23:59,0.23
Adıyaman,22-01-2024,00:00,28-01-2024,23:59,0.15
Afyonkarahisar,22-01-2024,00:00,28-01-2024,23:59,0.15
